Id,ActivityHour,Calories,TotalIntensity,AverageIntensity,StepTotal,AssignedName
1503960366,4/12/2016 12:00:00 AM,81,20,0.333333,373,Aarav
1503960366,4/12/2016 1:00:00 AM,61,8,0.133333,160,Aarav
1503960366,4/12/2016 2:00:00 AM,59,7,0.116667,151,Aarav
1503960366,4/12/2016 3:00:00 AM,47,0,0.0,0,Aarav
1503960366,4/12/2016 4:00:00 AM,48,0,0.0,0,Aarav
1503960366,4/12/2016 5:00:00 AM,48,0,0.0,0,Aarav
1503960366,4/12/2016 6:00:00 AM,48,0,0.0,0,Aarav
1503960366,4/12/2016 7:00:00 AM,47,0,0.0,0,Aarav
1503960366,4/12/2016 8:00:00 AM,68,13,0.216667,250,Aarav
1503960366,4/12/2016 9:00:00 AM,141,30,0.5,1864,Aarav
1503960366,4/12/2016 10:00:00 AM,99,29,0.483333,676,Aarav
1503960366,4/12/2016 11:00:00 AM,76,12,0.2,360,Aarav
1503960366,4/12/2016 12:00:00 PM,73,11,0.183333,253,Aarav
1503960366,4/12/2016 1:00:00 PM,66,6,0.1,221,Aarav
1503960366,4/12/2016 2:00:00 PM,110,36,0.6,1166,Aarav
1503960366,4/12/2016 3:00:00 PM,151,58,0.966667,2063,Aarav
1503960366,4/12/2016 4:00:00 PM,76,13,0.216667,344,Aarav
1503960366,4/12/2016 5:00:00 PM,83,16,0.266667,489,Aarav
1503960366,4/12/2016 6:00:00 PM,124,29,0.483333,1386,Aarav
1503960366,4/12/2016 7:00:00 PM,104,39,0.65,558,Aarav
1503960366,4/12/2016 8:00:00 PM,132,41,0.683333,1733,Aarav
1503960366,4/12/2016 9:00:00 PM,100,31,0.516667,684,Aarav
1503960366,4/12/2016 10:00:00 PM,65,9,0.15,89,Aarav
1503960366,4/12/2016 11:00:00 PM,81,21,0.35,338,Aarav
1503960366,4/13/2016 12:00:00 AM,69,14,0.233333,144,Aarav
1503960366,4/13/2016 1:00:00 AM,48,0,0.0,0,Aarav
1503960366,4/13/2016 2:00:00 AM,47,0,0.0,0,Aarav
1503960366,4/13/2016 3:00:00 AM,53,4,0.066667,36,Aarav
1503960366,4/13/2016 4:00:00 AM,47,0,0.0,0,Aarav
1503960366,4/13/2016 5:00:00 AM,47,0,0.0,0,Aarav
1503960366,4/13/2016 6:00:00 AM,48,0,0.0,0,Aarav
1503960366,4/13/2016 7:00:00 AM,59,8,0.133333,126,Aarav
1503960366,4/13/2016 8:00:00 AM,69,12,0.2,275,Aarav
1503960366,4/13/2016 9:00:00 AM,136,27,0.45,1679,Aarav
1503960366,4/13/2016 10:00:00 AM,77,15,0.25,295,Aarav
1503960366,4/13/2016 11:00:00 AM,84,16,0.266667,524,Aarav
1503960366,4/13/2016 12:00:00 PM,82,15,0.25,486,Aarav
1503960366,4/13/2016 1:00:00 PM,72,10,0.166667,302,Aarav
1503960366,4/13/2016 2:00:00 PM,128,46,0.766667,1577,Aarav
1503960366,4/13/2016 3:00:00 PM,79,13,0.216667,493,Aarav
1503960366,4/13/2016 4:00:00 PM,71,10,0.166667,299,Aarav
1503960366,4/13/2016 5:00:00 PM,87,23,0.383333,695,Aarav
1503960366,4/13/2016 6:00:00 PM,118,25,0.416667,1343,Aarav
1503960366,4/13/2016 7:00:00 PM,73,13,0.216667,258,Aarav
1503960366,4/13/2016 8:00:00 PM,47,0,0.0,0,Aarav
1503960366,4/13/2016 9:00:00 PM,48,0,0.0,0,Aarav
1503960366,4/13/2016 10:00:00 PM,74,11,0.183333,437,Aarav
1503960366,4/13/2016 11:00:00 PM,135,56,0.933333,1766,Aarav
1503960366,4/14/2016 12:00:00 AM,56,4,0.066667,81,Aarav
1503960366,4/14/2016 1:00:00 AM,54,3,0.05,58,Aarav
1503960366,4/14/2016 2:00:00 AM,47,0,0.0,0,Aarav
1503960366,4/14/2016 3:00:00 AM,47,0,0.0,0,Aarav
1503960366,4/14/2016 4:00:00 AM,47,0,0.0,0,Aarav
1503960366,4/14/2016 5:00:00 AM,47,0,0.0,0,Aarav
1503960366,4/14/2016 6:00:00 AM,47,0,0.0,0,Aarav
1503960366,4/14/2016 7:00:00 AM,47,0,0.0,0,Aarav
1503960366,4/14/2016 8:00:00 AM,47,0,0.0,0,Aarav
1503960366,4/14/2016 9:00:00 AM,93,14,0.233333,902,Aarav
1503960366,4/14/2016 10:00:00 AM,109,23,0.383333,1106,Aarav
1503960366,4/14/2016 11:00:00 AM,64,7,0.116667,50,Aarav
1503960366,4/14/2016 12:00:00 PM,85,18,0.3,501,Aarav
1503960366,4/14/2016 1:00:00 PM,137,54,0.9,1779,Aarav
1503960366,4/14/2016 2:00:00 PM,113,22,0.366667,1228,Aarav
1503960366,4/14/2016 3:00:00 PM,66,7,0.116667,139,Aarav
1503960366,4/14/2016 4:00:00 PM,88,25,0.416667,408,Aarav
1503960366,4/14/2016 5:00:00 PM,61,5,0.083333,37,Aarav
1503960366,4/14/2016 6:00:00 PM,72,12,0.2,322,Aarav
1503960366,4/14/2016 7:00:00 PM,55,1,0.016667,11,Aarav
1503960366,4/14/2016 8:00:00 PM,91,24,0.4,806,Aarav
1503960366,4/14/2016 9:00:00 PM,174,57,0.95,2670,Aarav
1503960366,4/14/2016 10:00:00 PM,79,17,0.283333,362,Aarav
1503960366,4/14/2016 11:00:00 PM,50,0,0.0,0,Aarav
1503960366,4/15/2016 12:00:00 AM,60,6,0.1,83,Aarav
1503960366,4/15/2016 1:00:00 AM,58,5,0.083333,75,Aarav
1503960366,4/15/2016 2:00:00 AM,59,7,0.116667,124,Aarav
1503960366,4/15/2016 3:00:00 AM,47,0,0.0,0,Aarav
1503960366,4/15/2016 4:00:00 AM,47,0,0.0,0,Aarav
1503960366,4/15/2016 5:00:00 AM,49,1,0.016667,26,Aarav
1503960366,4/15/2016 6:00:00 AM,47,0,0.0,0,Aarav
1503960366,4/15/2016 7:00:00 AM,49,1,0.016667,7,Aarav
1503960366,4/15/2016 8:00:00 AM,54,5,0.083333,55,Aarav
1503960366,4/15/2016 9:00:00 AM,50,2,0.033333,21,Aarav
1503960366,4/15/2016 10:00:00 AM,63,8,0.133333,154,Aarav
1503960366,4/15/2016 11:00:00 AM,84,23,0.383333,425,Aarav
1503960366,4/15/2016 12:00:00 PM,74,13,0.216667,270,Aarav
1503960366,4/15/2016 1:00:00 PM,67,9,0.15,373,Aarav
1503960366,4/15/2016 2:00:00 PM,47,0,0.0,0,Aarav
1503960366,4/15/2016 3:00:00 PM,47,0,0.0,0,Aarav
1503960366,4/15/2016 4:00:00 PM,47,0,0.0,0,Aarav
1503960366,4/15/2016 5:00:00 PM,140,47,0.783333,1774,Aarav
1503960366,4/15/2016 6:00:00 PM,87,22,0.366667,509,Aarav
1503960366,4/15/2016 7:00:00 PM,97,32,0.533333,519,Aarav
1503960366,4/15/2016 8:00:00 PM,64,8,0.133333,77,Aarav
1503960366,4/15/2016 9:00:00 PM,75,14,0.233333,280,Aarav
1503960366,4/15/2016 10:00:00 PM,151,66,1.1,2145,Aarav
1503960366,4/15/2016 11:00:00 PM,182,95,1.583333,2768,Aarav
1503960366,4/16/2016 12:00:00 AM,77,15,0.25,459,Aarav
1503960366,4/16/2016 1:00:00 AM,48,0,0.0,0,Aarav
1503960366,4/16/2016 2:00:00 AM,52,3,0.05,63,Aarav
1503960366,4/16/2016 3:00:00 AM,48,1,0.016667,6,Aarav
1503960366,4/16/2016 4:00:00 AM,49,1,0.016667,6,Aarav
